URL,Entered On,Sale Date,Winning Bid,Reserve / Bids,DISTILLERY,VINTAGE,REGION,BOTTLER,CASK TYPE,BOTTLED STRENGTH,BOTTLE SIZE,DISTILLERY STATUS,AGE,ABV (%),Volume (L),LOA (Litres of Alcohol),Reserve Met?,Where?
https://whiskyauctioneer.com/lot/1023-01/1-bruichladdich-2002-sherry-butt-000487-cask-storage-bruichladdich,2025-04-14 00:00:00,2023-11-06 00:00:00,55000,(RESERVE NOT MET) THIS LOT CURRENTLY HAS: 7 BIDS,BRUICHLADDICH,2002,ISLAY,STILL IN CASK,SHERRY BUTT,59.6% AS OF 03/2023,242.3 RLA AS OF 08/2023,OPERATIONAL,21,59.6,406.5436242,242.3,No,WhiskyAuction
https://whiskyauctioneer.com/lot/5018483/1-craigellachie-2007-sherry-butt-900189-cask-storage-whiskybroker,2025-04-14 00:00:00,2021-08-09 00:00:00,20000,(RESERVE HAS BEEN MET) THIS LOT CURRENTLY HAS: 23 BIDS,CRAIGELLACHIE,2007,SPEYSIDE,STILL IN CASK,SHERRY BUTT,63.9% AS OF 8/7/2020,439.4 BULK LITRE AS OF 8/7/2020,OPERATIONAL,14,63.9,439.4,280.7766,Yes,WhiskyAuction
https://whiskyauctioneer.com/lot/335404/1-glen-elgin-2013-sherry-butt-814806-cask-storage-coleburn,2025-04-14 00:00:00,2021-03-08 00:00:00,17000,(RESERVE HAS BEEN MET) THIS LOT CURRENTLY HAS: 27 BIDS,GLEN ELGIN,2013,SPEYSIDE,STILL IN CASK,SHERRY BUTT,62.01% AS OF 2/2021,437 BULK LITRE AS OF 2/2021,OPERATIONAL,8,62.01,437,270.9837,Yes,WhiskyAuction
https://whiskyauctioneer.com/lot/0622-01/1-bruichladdich-2002-sherry-hogshead-427-cask-storage-bruichladdich,2025-04-14 00:00:00,2022-07-04 00:00:00,40500,(RESERVE HAS BEEN MET) THIS LOT CURRENTLY HAS: 43 BIDS,BRUICHLADDICH,2002,ISLAY,STILL IN CASK,SHERRY HOGSHEAD,57.2% AS OF MAY 2022,96.8 RLA AS OF MAY 2022,OPERATIONAL,20,57.2,169.2307692,96.8,Yes,WhiskyAuction
https://whiskyauctioneer.com/lot/0921-04/1-bunnahabhain-2010-sherry-hogshead-901209-cask-storage-whiskybroker,2025-04-14 00:00:00,2021-10-04 00:00:00,18500,(RESERVE HAS BEEN MET) THIS LOT CURRENTLY HAS: 42 BIDS,BUNNAHABHAIN,2010,ISLAY,STILL IN CASK,SHERRY HOGSHEAD,67.30% AS OF 8/7/2020,229.0 BULK LITRE AS OF 8/7/2020,OPERATIONAL,10,67.3,229,154.117,Yes,WhiskyAuction
https://whiskyauctioneer.com/lot/5018486/1-bunnahabhain-2010-sherry-hogshead-901209-cask-storage-whiskybroker,2025-04-14 00:00:00,2021-08-09 00:00:00,16000,(RESERVE NOT MET) THIS LOT CURRENTLY HAS: 39 BIDS,BUNNAHABHAIN,2010,ISLAY,STILL IN CASK,SHERRY HOGSHEAD,67.30% AS OF 8/7/2020,229.0 BULK LITRE AS OF 8/7/2020,OPERATIONAL,10,67.3,229,154.117,No,WhiskyAuction
https://whiskyauctioneer.com/lot/314182/1-bunnahabhain-2010-sherry-hogshead-901248-cask-storage-whiskybroker,2025-04-14 00:00:00,2020-12-07 00:00:00,15501,(No reserve/bid info),BUNNAHABHAIN,2010,ISLAY,STILL IN CASK,SHERRY HOGSHEAD,66.10% AS OF 8/7/2020,225.10 BULK LITRE AS OF 8/7/2020,OPERATIONAL,10,66.1,225.1,148.7911,No,WhiskyAuction
https://whiskyauctioneer.com/lot/1223-03/1-tullibardine-2015-1st-fill-vin-santo-octave-650913-cask-storage-whiskybroker,2025-04-14 00:00:00,2024-01-08 00:00:00,1200,(RESERVE NOT MET) THIS LOT CURRENTLY HAS: 3 BIDS,TULLIBARDINE,2015,HIGHLAND,STILL IN CASK,VIN SANTO OCTAVE,57.9% AS OF 16/11/2023,33.2980 RLA AS OF 16/11/2023,OPERATIONAL,9,57.9,57.50949914,33.298,No,WhiskyAuction
https://whiskyauctioneer.com/lot/1124-01a/cask-adnams-2015-french-oak-cask-496-stored-cadus-vaults,2025-04-14 00:00:00,2025-01-06 00:00:00,1000,(RESERVE NOT MET) THIS LOT CURRENTLY HAS: 4 BIDS,COPPER HOUSE,2015,ENGLAND,STILL IN CASK,VIRGIN FRENCH OAK,64.29% AS OF OCTOBER 2024,BULK 173.58 LITRES AS OF OCTOBER 2024,OPERATIONAL,10,64.29,173.58,111.594582,No,WhiskyAuction
https://whiskyauctioneer.com/lot/5001655/1-bruichladdich-2011-wine-hogshead-3093-cask-storage-bruichladdich,2025-04-14 00:00:00,2021-05-10 00:00:00,15600,(RESERVE HAS BEEN MET) THIS LOT CURRENTLY HAS: 16 BIDS,BRUICHLADDICH,2011,ISLAY,STILL IN CASK,WINE HOGSHEAD,63.6% AS OF 3/2021,208 BULK LITRE AS OF 3/2021,OPERATIONAL,9,63.6,208,132.288,Yes,WhiskyAuction
https://whiskyauctioneer.com/lot/0323-02/1-balmenach-2016-barrel-123-cask-storage-whisky-broker,2025-04-14 00:00:00,2023-04-10 00:00:00,2100,(RESERVE NOT MET) THIS LOT CURRENTLY HAS: 4 BIDS,BALMENACH,2016,SPEYSIDE,STILL IN CASK,Unknown,62.1% AS OF 22/03/2023,BULK 154.8152 LITRES AS OF 22/03/2023,OPERATIONAL,7,62.1,154.8152,96.1402392,No,WhiskyAuction
https://whiskyauctioneer.com/lot/0723-03/1-ben-nevis-2013-cask-319-cask-storage-young-spirits,2025-04-14 00:00:00,2023-08-07 00:00:00,6100,(RESERVE NOT MET) THIS LOT CURRENTLY HAS: 6 BIDS,BEN NEVIS,2013,HIGHLAND,STILL IN CASK,Unknown,56.5% AS OF 11.04.23,130.71 BULK LITRES AS OF 11.04.23,OPERATIONAL,10,56.5,130.71,73.85115,No,WhiskyAuction
https://whiskyauctioneer.com/lot/0524-10/cask-glen-garioch-2014-single-cask-7393-stored-north-british,2025-04-14 00:00:00,2024-06-10 00:00:00,2600,(No reserve/bid info),GLEN GARIOCH,2014,HIGHLAND,STILL IN CASK,Unknown,56.4% AS OF 29/05/2024,BULK 158.86 LITRES AS OF 29/05/2024,OPERATIONAL,10,56.4,158.86,89.59704,No,WhiskyAuction
https://whiskyauctioneer.com/lot/0723-01/1-glen-moray-2008-cask-5676-cask-storage-young-spirits,2025-04-14 00:00:00,2023-08-07 00:00:00,4200,(RESERVE NOT MET) THIS LOT CURRENTLY HAS: 7 BIDS,GLEN MORAY,2008,SPEYSIDE,STILL IN CASK,Unknown,51.94% AS OF 11.04.23,94.3 BULK LITRE AS OF 11.04.23,OPERATIONAL,15,51.94,94.3,48.97942,No,WhiskyAuction
https://whiskyauctioneer.com/lot/0723-02/1-royal-brackla-2008-cask-6611-cask-storage-young-spirits,2025-04-14 00:00:00,2023-08-07 00:00:00,6100,(RESERVE NOT MET) THIS LOT CURRENTLY HAS: 11 BIDS,ROYAL BRACKLA,2008,HIGHLAND,STILL IN CASK,Unknown,61.5% AS OF 11.04.23,95.55 BULK LITRES AS OF 11.04.23,OPERATIONAL,15,61.5,95.55,58.76325,No,WhiskyAuction
https://whiskyauctioneer.com/lot/1121-06/1-tullibardine-2015-barrel-94-cask-storage-muirhall-warehouses,2025-04-14 00:00:00,2021-12-06 00:00:00,1700,(RESERVE NOT MET) THIS LOT CURRENTLY HAS: 7 BIDS,TULLIBRADINE,2015,HIGHLAND,STILL IN CASK,Unknown,62%,110.3 RLA,OPERATIONAL,6,62,177.9032258,110.3,No,WhiskyAuction
